;ann_to_longer;ann_to_shorter;announcements;as_path_avg;as_path_max;dups;edit_distance_avg;edit_distance_dict_0_;edit_distance_dict_10_;edit_distance_dict_11_;edit_distance_dict_12_;edit_distance_dict_13_;edit_distance_dict_14_;edit_distance_dict_15_;edit_distance_dict_16_;edit_distance_dict_17_;edit_distance_dict_18_;edit_distance_dict_19_;edit_distance_dict_1_;edit_distance_dict_20_;edit_distance_dict_21_;edit_distance_dict_22_;edit_distance_dict_23_;edit_distance_dict_24_;edit_distance_dict_26_;edit_distance_dict_27_;edit_distance_dict_28_;edit_distance_dict_2_;edit_distance_dict_3_;edit_distance_dict_4_;edit_distance_dict_5_;edit_distance_dict_6_;edit_distance_dict_7_;edit_distance_dict_8_;edit_distance_dict_9_;edit_distance_max;edit_distance_unique_dict_0_;edit_distance_unique_dict_10_;edit_distance_unique_dict_11_;edit_distance_unique_dict_12_;edit_distance_unique_dict_13_;edit_distance_unique_dict_14_;edit_distance_unique_dict_15_;edit_distance_unique_dict_16_;edit_distance_unique_dict_17_;edit_distance_unique_dict_18_;edit_distance_unique_dict_19_;edit_distance_unique_dict_1_;edit_distance_unique_dict_20_;edit_distance_unique_dict_21_;edit_distance_unique_dict_22_;edit_distance_unique_dict_23_;edit_distance_unique_dict_24_;edit_distance_unique_dict_26_;edit_distance_unique_dict_27_;edit_distance_unique_dict_28_;edit_distance_unique_dict_2_;edit_distance_unique_dict_3_;edit_distance_unique_dict_4_;edit_distance_unique_dict_5_;edit_distance_unique_dict_6_;edit_distance_unique_dict_7_;edit_distance_unique_dict_8_;edit_distance_unique_dict_9_;flaps;imp_wd_dpath;imp_wd_spath;nadas;news;number_rare_ases;origin_0_;origin_1_;origin_2_;origin_changes;rare_ases_avg;rare_ases_max;timestamp;unique_as_path_avg;unique_as_path_max
0;2356;3002;19974;4;17;125;1.2866204885162231;5364;72;12;2;0;1;0;0;0;0;0;3940;0;0;0;0;0;0;0;0;2360;871;530;274;141;55;75;18;14;5364;72;12;2;0;1;0;0;0;0;0;3940;0;0;0;0;0;0;0;0;2360;871;530;274;141;55;75;18;147;7862;4703;878;6009;879;20416;25;857;625;0.046272899557801644;5;2018-05-23 20:00:00;3;13
1;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;2018-05-23 20:05:00;0;0
2;3176;2896;21992;4;26;277;1.5613396172522136;4311;49;12;8;19;9;3;0;0;10;8;4620;0;0;9;30;9;0;0;0;2621;1094;547;272;158;108;66;41;24;4311;49;12;8;19;9;3;0;0;10;8;4620;0;0;9;30;9;0;0;0;2621;1094;547;272;158;108;66;41;165;9316;3593;653;7789;892;17467;0;530;373;0.040497593752837555;4;2018-05-23 20:10:00;4;12
3;2653;2579;17180;5;29;138;1.7007683313846669;4315;228;86;16;1;23;22;5;27;23;0;3402;0;0;0;0;0;0;0;0;1950;833;472;186;168;105;41;71;18;4315;228;86;16;1;23;22;5;27;23;0;3402;0;0;0;0;0;0;0;0;1950;833;472;186;168;105;41;71;200;6977;3699;960;4978;561;17842;3;631;425;0.03261817547531833;4;2018-05-23 20:15:00;5;13
4;3303;4340;26864;5;23;689;1.607248364633889;7329;194;67;29;33;1;0;0;27;1;4;5297;0;0;0;0;0;0;0;0;2873;864;560;307;806;338;200;26;19;7329;194;67;29;33;1;0;0;27;1;4;5297;0;0;0;0;0;0;0;0;2873;864;560;307;806;338;200;26;490;10476;5520;1781;7758;444;18933;2;976;568;0.016527079843662758;3;2018-05-23 20:20:00;5;13
5;5386;4018;27795;4;30;296;1.6215498028458768;8874;234;203;91;15;4;0;0;0;0;0;5776;0;0;0;0;0;0;0;0;4260;1742;654;371;376;352;215;165;14;8874;234;203;91;15;4;0;0;0;0;0;5776;0;0;0;0;0;0;0;0;4260;1742;654;371;376;352;215;165;234;13845;7965;992;4307;493;22725;3;618;441;0.01772361230946218;4;2018-05-23 20:25:00;3;12
6;11576;12873;55611;5;31;1192;2.5915698906501654;14003;513;577;874;623;110;29;0;9;3;4;11322;0;40;21;2;2;4;2;3;6039;3144;3436;1992;1386;1636;699;715;28;14003;513;577;874;623;110;29;0;9;3;4;11322;0;40;21;2;2;4;2;3;6039;3144;3436;1992;1386;1636;699;715;351;31124;11732;2789;7895;467;23838;0;2015;1337;0.00839761917606229;6;2018-05-23 20:30:00;5;12
7;3362;3793;20399;6;20;244;1.604996855525699;5228;215;46;51;48;1;1;3;1;0;0;5873;0;0;0;0;0;0;0;0;3300;1194;613;347;248;254;33;35;17;5228;215;46;51;48;1;1;3;1;0;0;5873;0;0;0;0;0;0;0;0;3300;1194;613;347;248;254;33;35;269;11457;4318;1203;2562;234;15534;0;694;433;0.011464406447503798;3;2018-05-23 20:35:00;6;12
8;3211;3017;15189;4;22;207;1.8754345735631335;3993;106;70;60;120;19;0;0;1;0;0;3896;0;0;0;0;0;0;0;0;2462;1251;554;379;232;213;73;90;17;3993;106;70;60;120;19;0;0;1;0;0;3896;0;0;0;0;0;0;0;0;2462;1251;554;379;232;213;73;90;251;9013;3217;831;1552;261;14938;3;466;347;0.017173312277931306;4;2018-05-23 20:40:00;3;12
9;4271;4039;21424;7;24;200;1.7503911488600805;5512;50;32;61;147;4;0;0;0;14;2;4477;2;0;0;0;0;0;0;0;3881;1773;939;424;240;181;110;47;20;5512;50;32;61;147;4;0;0;0;14;2;4477;2;0;0;0;0;0;0;0;3881;1773;939;424;240;181;110;47;209;11678;4699;1110;3382;344;15586;0;667;422;0.016038043731642502;4;2018-05-23 20:45:00;7;13
